Word		Original_feature		Predicted_feature
इसके		pn		pn
अतिरिक्त		psp		adj
गुग्गुल		n		n
कुंड		n		n
,		punc		punc
भीम		n		n
गुफा		n		v
तथा		avy		psp
भीमशिला		n		n
भी		avy		avy
दर्शनीय		adj		adj
स्थल		n		n
हैं		v		v
।		punc		punc
आधा		adj		n
किमी		n		n
की		psp		psp
दूरी		n		n
पर		psp		psp
भैरवनाथ		n		n
मंदिर		n		n
है		v		v
,		punc		punc
जहाँ		pn		pn
केवल		avy		adj
केदारनाथ		n		n
के		psp		psp
पट		n		n
खुलने		v		v
और		avy		avy
बंद		adj		adj
होने		v		v
के		psp		psp
दिन		n		n
ही		avy		avy
पूजन		n		n
किया		v		v
जाता		v		v
है		v		v
।		punc		punc
भैरव		n		n
का		psp		psp
स्थान		n		n
उत्तराखंड		n		n
में		psp		psp
क्षेत्रपाल		n		n
अथवा		avy		n
भूमिदेव		n		n
के		psp		psp
रूप		n		n
में		psp		psp
महत्वपूर्ण		adj		adj
है		v		v
।		punc		punc
यह		pn		pn
सोनप्रयाग		n		n
से		psp		psp
5		num		num
किमी		n		n
आगे		nst		v
और		avy		avy
केदारनाथ		n		n
में		psp		psp
6		num		avy
किमी		n		n
पहले		nst		nst
(		punc		punc
पैदल		n		n
)		punc		punc
पड़ने		v		v
वाला		psp		psp
एक		num		num
अत्यंत		avy		adj
महत्वपूर्ण		adj		adj
तीर्थ		n		n
एवं		avy		avy
विश्राम		n		n
स्थल		n		n
है		v		v
।		punc		punc
इसकी		pn		pn
ऊँचाई		n		n
केवल		avy		adj
1982		num		num
मीटर		n		n
है		v		v
।		punc		punc
इंदौर		n		n
में		psp		psp
जिस		pn		n
प्रकार		n		n
से		psp		psp
शेरोंवाली		n		adj
माँ		n		n
की		psp		psp
पूजा		n		n
आस्था		n		n
तथा		avy		psp
विश्वास		n		n
के		psp		psp
साथ		nst		nst
की		v		psp
जाती		v		v
है		v		v
उसी		pn		pn
विश्वास		n		n
के		psp		psp
साथ		nst		nst
कोलकाता		n		n
में		psp		psp
काली		n		adj
माँ		n		n
की		psp		psp
पूजा		n		n
की		v		v
जाती		v		v
है		v		v
।		punc		punc
जिस		pn		pn
प्रकार		n		n
शेरोंवाली		n		n
माँ		n		n
के		psp		psp
मंदिर		n		n
में		psp		psp
जगराता		n		v
होता		v		v
है		v		v
,		punc		punc
उसी		pn		pn
प्रकार		n		n
काली		n		psp
माँ		n		n
के		psp		psp
मंदिर		n		n
में		psp		psp
जगराता		n		v
होता		v		v
है		v		v
।		punc		punc
इसी		pn		pn
कारण		n		n
कोलकातावासी		n		n
माँ		n		n
काली		n		n
के		psp		psp
भक्त		n		adj
हैं		v		v
तथा		avy		v
उनके		pn		pn
शक्ति		n		n
रूप		n		n
को		psp		psp
मानते		v		v
हैं		v		v
।		punc		punc
काली		n		adj
मंदिर		n		n
में		psp		psp
दर्शन		n		n
किए		v		v
बिना		avy		pn
कोलकाता		n		n
की		psp		psp
सैर		n		n
अधूरी		adj		n
मानी		v		v
जाती		v		v
है		v		v
।		punc		punc
कोलकाता		n		n
के		psp		psp
उत्तर		n		n
में		psp		psp
विवेकानंद		n		n
पुल		n		n
के		psp		psp
पास		nst		nst
दक्षिणेश्वर		n		n
काली		n		psp
मंदिर		n		n
स्थित		adj		adj
है		v		v
।		punc		punc
यह		pn		pn
मंदिर		n		n
बीबीडी		n		n
बाग		n		n
से		psp		psp
20		num		num
किलोमीटर		n		n
दूर		nst		n
है		v		v
।		punc		punc
दक्षिणेश्वर		n		n
मंदिर		n		n
का		psp		psp
निर्माण		n		n
सन		n		pn
1847		n		n
में		psp		psp
प्रारंभ		n		adj
हुआ		v		v
था		v		v
।		punc		punc
जान		n		n
बाजार		n		n
की		psp		psp
महारानी		n		n
रासमणि		n		n
ने		psp		psp
स्वप्न		n		n
देखा		v		v
था		v		v
,		punc		punc
जिसके		pn		pn
अनुसार		psp		psp
माँ		n		n
काली		n		n
ने		psp		psp
उन्हें		pn		pn
निर्देश		n		n
दिया		v		v
कि		avy		avy
मंदिर		n		n
का		psp		psp
निर्माण		n		n
किया		v		v
जाए		v		v
।		punc		punc
इस		pn		pn
भव्य		adj		n
मंदिर		n		n
में		psp		psp
माँ		n		n
की		psp		psp
मूर्ति		n		n
श्रद्धापूर्वक		adv		adj
स्थापित		adj		adj
की		v		v
गई		v		v
।		punc		punc
सन		n		pn
1855		n		n
में		psp		psp
मंदिर		n		n
का		psp		psp
निर्माण		n		n
पूरा		adj		adj
हुआ		v		v
।		punc		punc
यह		pn		pn
मंदिर		n		n
25		num		num
एकड़		n		n
क्षेत्र		n		n
में		psp		psp
