Word		Original_feature		Predicted_feature
इसके		ke		ke
अतिरिक्त		UNK		UNK
गुग्गुल		0		0
कुंड		0		0
,		UNK		UNK
भीम		0		UNK
गुफा		0		yA
तथा		UNK		UNK
भीमशिला		0		0
भी		UNK		UNK
दर्शनीय		UNK		UNK
स्थल		0		0
हैं		hE		hE
।		UNK		UNK
आधा		UNK		UNK
किमी		0		0
की		UNK		UNK
दूरी		0		0
पर		UNK		UNK
भैरवनाथ		0		0
मंदिर		0		0
है		hE		hE
,		UNK		UNK
जहाँ		UNK		UNK
केवल		UNK		UNK
केदारनाथ		0		0
के		UNK		UNK
पट		0		0
खुलने		nA		nA
और		UNK		UNK
बंद		UNK		UNK
होने		nA		nA
के		UNK		UNK
दिन		0		0
ही		UNK		UNK
पूजन		0		0
किया		yA		yA
जाता		wA		wA
है		hE		hE
।		UNK		UNK
भैरव		0		0
का		UNK		UNK
स्थान		0		0
उत्तराखंड		0		0
में		UNK		UNK
क्षेत्रपाल		0		0
अथवा		UNK		0
भूमिदेव		0		0
के		UNK		UNK
रूप		UNK		0
में		UNK		UNK
महत्वपूर्ण		UNK		UNK
है		hE		hE
।		UNK		UNK
यह		0		UNK
सोनप्रयाग		0		0
से		UNK		UNK
5		UNK		UNK
किमी		0		0
आगे		UNK		yA
और		UNK		UNK
केदारनाथ		0		0
में		UNK		UNK
6		UNK		UNK
किमी		0		0
पहले		UNK		UNK
(		UNK		UNK
पैदल		0		0
)		UNK		UNK
पड़ने		nA		nA
वाला		UNK		UNK
एक		UNK		UNK
अत्यंत		UNK		UNK
महत्वपूर्ण		UNK		UNK
तीर्थ		0		0
एवं		UNK		UNK
विश्राम		0		0
स्थल		0		0
है		hE		hE
।		UNK		UNK
इसकी		kA		kA
ऊँचाई		0		0
केवल		UNK		UNK
1982		UNK		UNK
मीटर		0		0
है		hE		hE
।		UNK		UNK
इंदौर		0		0
में		UNK		UNK
जिस		UNK		0
प्रकार		0		0
से		UNK		UNK
शेरोंवाली		0		0
माँ		0		0
की		UNK		UNK
पूजा		0		0
आस्था		0		0
तथा		UNK		UNK
विश्वास		0		0
के		UNK		UNK
साथ		UNK		0
की		yA		UNK
जाती		wA		wA
है		hE		hE
उसी		UNK		UNK
विश्वास		0		0
के		UNK		UNK
साथ		UNK		UNK
कोलकाता		0		0
में		UNK		UNK
काली		0		UNK
माँ		0		0
की		UNK		UNK
पूजा		0		0
की		yA		UNK
जाती		wA		wA
है		hE		hE
।		UNK		UNK
जिस		UNK		0
प्रकार		0		0
शेरोंवाली		0		0
माँ		0		0
के		UNK		UNK
मंदिर		0		0
में		UNK		UNK
जगराता		0		wA
होता		wA		wA
है		hE		hE
,		UNK		UNK
उसी		UNK		UNK
प्रकार		0		0
काली		0		UNK
माँ		0		0
के		UNK		UNK
मंदिर		0		0
में		UNK		UNK
जगराता		0		wA
होता		wA		wA
है		hE		hE
।		UNK		UNK
इसी		UNK		UNK
कारण		0		0
कोलकातावासी		0		0
माँ		0		0
काली		0		0
के		UNK		UNK
भक्त		0		UNK
हैं		hE		hE
तथा		UNK		UNK
उनके		kA		kA
शक्ति		0		0
रूप		0		0
को		UNK		UNK
मानते		wA		wA
हैं		hE		hE
।		UNK		UNK
काली		0		UNK
मंदिर		0		0
में		UNK		UNK
दर्शन		0		0
किए		yA		yA
बिना		UNK		0
कोलकाता		0		0
की		UNK		UNK
सैर		0		0
अधूरी		UNK		0
मानी		yA		0
जाती		wA		wA
है		hE		hE
।		UNK		UNK
कोलकाता		0		0
के		UNK		UNK
उत्तर		0		0
में		UNK		UNK
विवेकानंद		0		0
पुल		0		0
के		UNK		UNK
पास		UNK		UNK
दक्षिणेश्वर		0		0
काली		0		UNK
मंदिर		0		0
स्थित		UNK		UNK
है		hE		hE
।		UNK		UNK
यह		UNK		UNK
मंदिर		0		0
बीबीडी		0		0
बाग		0		0
से		UNK		UNK
20		UNK		UNK
किलोमीटर		0		0
दूर		UNK		0
है		hE		hE
।		UNK		UNK
दक्षिणेश्वर		0		0
मंदिर		0		0
का		UNK		UNK
निर्माण		0		0
सन		0		UNK
1847		0		0
में		UNK		UNK
प्रारंभ		0		UNK
हुआ		yA		yA
था		WA		WA
।		UNK		UNK
जान		0		0
बाजार		0		0
की		UNK		UNK
महारानी		0		0
रासमणि		0		0
ने		UNK		UNK
स्वप्न		0		0
देखा		yA		yA
था		WA		WA
,		UNK		UNK
जिसके		ke		ke
अनुसार		UNK		UNK
माँ		0		0
काली		0		0
ने		UNK		UNK
उन्हें		ko		ko
निर्देश		0		0
दिया		yA		yA
कि		UNK		UNK
मंदिर		0		0
का		UNK		UNK
निर्माण		0		0
किया		yA		yA
जाए		eM		yA1
।		UNK		UNK
इस		UNK		UNK
भव्य		UNK		0
मंदिर		0		0
में		UNK		UNK
माँ		0		0
की		UNK		UNK
मूर्ति		0		0
श्रद्धापूर्वक		UNK		UNK
स्थापित		UNK		UNK
की		yA		yA
गई		yA1		yA1
।		UNK		UNK
सन		0		0
1855		0		0
में		UNK		UNK
मंदिर		0		0
का		UNK		UNK
निर्माण		0		0
पूरा		UNK		UNK
हुआ		yA		yA
।		UNK		UNK
यह		UNK		UNK
मंदिर		0		0
25		UNK		UNK
एकड़		0		0
क्षेत्र		0		0
में		UNK		UNK
स्थित		UNK		UNK
है		hE		hE
।		UNK		UNK
अमेरिका		0		0
सद्दाम		0		0
हुसैन		0		0
की		UNK		UNK
न्यायिक		UNK		UNK
हिरासत		0		0
इराक		0		0
की		UNK		UNK
अंतरिम		UNK		UNK
सरकार		0		0
को		UNK		UNK
सौंपने		nA		nA
पर		UNK		UNK
विचार		0		0
कर		0		0
रहा		yA		yA
है		hE		hE
लेकिन		UNK		UNK
वह		0		0
सद्दाम		0		0
को		UNK		UNK
अपनी		0		0
सेना		0		0
के		UNK		UNK
कब्जे		0		0
में		UNK		UNK
ही		UNK		UNK
रखेगा		gA		gA
।		UNK		UNK
घाजी		0		UNK
तलाबानी		0		0
नाम		0		0
के		UNK		UNK
अधिकारी		0		0
की		UNK		UNK
काम		0		0
करने		nA		nA
जाते		wA		UNK
समय		UNK		0
हत्या		0		0
की		yA		yA
गई		yA1		yA1
।		UNK		UNK
इराक		0		0
स्थित		UNK		UNK
अमेरिकी		UNK		UNK
प्रशासक		0		0
एल.		0		0
पॉल		0		0
ब्रेमर		0		0
ने		UNK		UNK
कहा		yA		yA
कि		UNK		UNK
अगर		UNK		UNK
इराक		0		0
के		UNK		UNK
नए		UNK		UNK
