Word		Original_feature		Predicted_feature
इसके		3		3
अतिरिक्त		UNK		UNK
गुग्गुल		3		3
कुंड		3		3
,		UNK		UNK
भीम		3		UNK
गुफा		3		any
तथा		UNK		UNK
भीमशिला		3		3
भी		UNK		UNK
दर्शनीय		UNK		UNK
स्थल		3		3
हैं		3		3
।		UNK		UNK
आधा		UNK		3
किमी		3		3
की		UNK		UNK
दूरी		3		3
पर		UNK		UNK
भैरवनाथ		3		3
मंदिर		3		3
है		3		3
,		UNK		UNK
जहाँ		UNK		UNK
केवल		UNK		UNK
केदारनाथ		3		3
के		UNK		UNK
पट		3		3
खुलने		any		any
और		UNK		UNK
बंद		UNK		UNK
होने		any		any
के		UNK		UNK
दिन		3		3
ही		UNK		UNK
पूजन		3		3
किया		3		3
जाता		any		any
है		3		3
।		UNK		UNK
भैरव		3		3
का		UNK		UNK
स्थान		3		3
उत्तराखंड		3		3
में		UNK		UNK
क्षेत्रपाल		3		3
अथवा		UNK		3
भूमिदेव		3		3
के		UNK		UNK
रूप		UNK		3
में		UNK		UNK
महत्वपूर्ण		UNK		UNK
है		3		3
।		UNK		UNK
यह		3		3
सोनप्रयाग		3		3
से		UNK		UNK
5		UNK		UNK
किमी		3		3
आगे		3		3
और		UNK		UNK
केदारनाथ		3		3
में		UNK		UNK
6		UNK		UNK
किमी		3		3
पहले		3		3
(		UNK		UNK
पैदल		3		3
)		UNK		UNK
पड़ने		any		any
वाला		UNK		UNK
एक		UNK		UNK
अत्यंत		UNK		UNK
महत्वपूर्ण		UNK		UNK
तीर्थ		3		3
एवं		UNK		UNK
विश्राम		3		3
स्थल		3		3
है		3		3
।		UNK		UNK
इसकी		3		3
ऊँचाई		3		3
केवल		UNK		UNK
1982		UNK		UNK
मीटर		3		3
है		3		3
।		UNK		UNK
इंदौर		3		3
में		UNK		UNK
जिस		3		3
प्रकार		3		3
से		UNK		UNK
शेरोंवाली		3		3
माँ		3		3
की		UNK		UNK
पूजा		3		3
आस्था		3		3
तथा		UNK		UNK
विश्वास		3		3
के		UNK		UNK
साथ		3		3
की		3		UNK
जाती		any		3
है		3		3
उसी		3		3
विश्वास		3		3
के		UNK		UNK
साथ		3		3
कोलकाता		3		3
में		UNK		UNK
काली		3		UNK
माँ		3		3
की		UNK		UNK
पूजा		3		3
की		3		3
जाती		any		3
है		3		3
।		UNK		UNK
जिस		3		3
प्रकार		3		3
शेरोंवाली		3		3
माँ		3		3
के		UNK		UNK
मंदिर		3		3
में		UNK		UNK
जगराता		3		3
होता		3		3
है		3		3
,		UNK		UNK
उसी		3		3
प्रकार		3		3
काली		3		UNK
माँ		3		3
के		UNK		UNK
मंदिर		3		3
में		UNK		UNK
जगराता		3		3
होता		3		any
है		3		3
।		UNK		UNK
इसी		3		3
