Word		Original_feature		Predicted_feature
इसके		sg		sg
अतिरिक्त		UNK		any
गुग्गुल		sg		sg
कुंड		sg		sg
,		UNK		UNK
भीम		sg		sg
गुफा		sg		sg
तथा		UNK		sg
भीमशिला		sg		sg
भी		UNK		UNK
दर्शनीय		any		any
स्थल		pl		sg
हैं		pl		pl
।		UNK		UNK
आधा		sg		sg
किमी		sg		sg
की		sg		sg
दूरी		sg		sg
पर		UNK		UNK
भैरवनाथ		sg		sg
मंदिर		sg		any
है		sg		sg
,		UNK		UNK
जहाँ		UNK		UNK
केवल		UNK		any
केदारनाथ		sg		sg
के		pl		sg
पट		pl		sg
खुलने		any		sg
और		UNK		UNK
बंद		any		any
होने		pl		any
के		pl		UNK
दिन		pl		sg
ही		UNK		UNK
पूजन		sg		sg
किया		sg		sg
जाता		sg		sg
है		sg		sg
।		UNK		UNK
भैरव		sg		sg
का		sg		sg
स्थान		sg		sg
उत्तराखंड		sg		sg
में		UNK		UNK
क्षेत्रपाल		sg		sg
अथवा		UNK		sg
भूमिदेव		sg		sg
के		UNK		sg
रूप		UNK		sg
में		UNK		UNK
महत्वपूर्ण		any		any
है		sg		sg
।		UNK		UNK
यह		sg		sg
सोनप्रयाग		sg		sg
से		UNK		UNK
5		any		any
किमी		sg		sg
आगे		sg		sg
और		UNK		UNK
केदारनाथ		sg		sg
में		UNK		UNK
6		any		UNK
किमी		sg		sg
पहले		sg		sg
(		UNK		UNK
पैदल		sg		sg
)		UNK		UNK
पड़ने		sg		any
वाला		sg		sg
एक		any		any
अत्यंत		UNK		any
महत्वपूर्ण		any		any
तीर्थ		sg		sg
एवं		UNK		UNK
विश्राम		sg		sg
स्थल		sg		sg
है		sg		sg
।		UNK		UNK
इसकी		sg		sg
ऊँचाई		sg		sg
केवल		UNK		any
1982		any		any
मीटर		sg		sg
है		sg		sg
।		UNK		UNK
इंदौर		sg		sg
में		UNK		UNK
जिस		sg		sg
प्रकार		sg		sg
से		UNK		UNK
शेरोंवाली		sg		any
माँ		sg		sg
की		sg		sg
पूजा		sg		sg
आस्था		sg		sg
तथा		UNK		sg
विश्वास		sg		sg
के		UNK		UNK
साथ		sg		sg
की		sg		sg
जाती		sg		sg
है		sg		sg
उसी		sg		sg
विश्वास		sg		sg
के		UNK		UNK
साथ		sg		sg
कोलकाता		sg		sg
में		UNK		UNK
काली		sg		sg
माँ		sg		sg
की		sg		sg
पूजा		sg		sg
की		sg		sg
जाती		sg		sg
है		sg		sg
।		UNK		UNK
जिस		sg		sg
प्रकार		sg		sg
शेरोंवाली		sg		sg
माँ		sg		sg
के		sg		sg
मंदिर		sg		sg
में		UNK		UNK
जगराता		sg		sg
होता		sg		sg
है		sg		sg
,		UNK		UNK
उसी		sg		sg
प्रकार		sg		sg
काली		sg		sg
माँ		sg		sg
के		sg		sg
मंदिर		sg		sg
में		UNK		UNK
जगराता		sg		sg
होता		sg		sg
है		sg		sg
।		UNK		UNK
इसी		sg		sg
कारण		sg		sg
कोलकातावासी		pl		sg
माँ		sg		sg
काली		sg		sg
के		pl		pl
भक्त		pl		sg
हैं		pl		pl
तथा		UNK		UNK
उनके		pl		sg
शक्ति		sg		sg
रूप		sg		sg
को		UNK		UNK
मानते		pl		sg
हैं		pl		pl
।		UNK		UNK
काली		sg		sg
मंदिर		sg		sg
में		UNK		UNK
दर्शन		sg		sg
किए		sg		sg
बिना		UNK		sg
कोलकाता		sg		sg
की		sg		sg
सैर		sg		sg
अधूरी		sg		sg
मानी		sg		sg
जाती		sg		sg
है		sg		sg
।		UNK		UNK
कोलकाता		sg		sg
के		sg		sg
उत्तर		sg		sg
में		UNK		UNK
विवेकानंद		sg		sg
पुल		sg		sg
के		UNK		UNK
पास		sg		sg
दक्षिणेश्वर		sg		sg
काली		sg		sg
