Word		Original_feature		Predicted_feature
इसके		o		o
अतिरिक्त		UNK		o
गुग्गुल		d		d
कुंड		d		UNK
,		UNK		UNK
भीम		d		d
गुफा		d		UNK
तथा		UNK		UNK
भीमशिला		d		d
भी		UNK		UNK
दर्शनीय		d		o
स्थल		d		UNK
हैं		UNK		UNK
।		UNK		UNK
आधा		o		d
किमी		o		o
की		o		o
दूरी		o		o
पर		UNK		UNK
भैरवनाथ		d		d
मंदिर		d		UNK
है		UNK		UNK
,		UNK		UNK
जहाँ		d		d
केवल		UNK		UNK
केदारनाथ		o		o
के		d		o
पट		d		d
खुलने		o		o
और		UNK		UNK
बंद		UNK		d
होने		o		o
के		d		UNK
दिन		d		d
ही		UNK		UNK
पूजन		d		d
किया		UNK		UNK
जाता		UNK		UNK
है		UNK		UNK
।		UNK		UNK
भैरव		o		o
का		d		d
स्थान		d		d
उत्तराखंड		o		o
में		UNK		UNK
क्षेत्रपाल		o		d
अथवा		UNK		d
भूमिदेव		o		o
के		o		o
रूप		o		o
में		UNK		UNK
महत्वपूर्ण		UNK		UNK
है		UNK		UNK
।		UNK		UNK
यह		d		d
सोनप्रयाग		o		o
से		UNK		UNK
5		any		any
किमी		d		d
आगे		d		UNK
और		UNK		UNK
केदारनाथ		o		o
में		UNK		UNK
6		any		UNK
किमी		d		d
पहले		d		o
(		UNK		UNK
पैदल		d		o
)		UNK		UNK
पड़ने		o		o
वाला		d		d
एक		any		any
अत्यंत		UNK		d
महत्वपूर्ण		d		o
तीर्थ		d		d
एवं		UNK		UNK
विश्राम		d		d
स्थल		d		UNK
है		UNK		UNK
।		UNK		UNK
इसकी		o		o
ऊँचाई		d		d
केवल		UNK		UNK
1982		any		UNK
मीटर		d		d
है		UNK		UNK
।		UNK		UNK
इंदौर		o		o
में		UNK		UNK
जिस		o		d
प्रकार		o		o
से		UNK		UNK
शेरोंवाली		d		o
माँ		o		o
की		d		d
पूजा		d		d
आस्था		o		d
तथा		UNK		UNK
विश्वास		o		o
के		UNK		UNK
साथ		d		o
की		UNK		d
जाती		UNK		UNK
है		UNK		UNK
उसी		o		o
विश्वास		o		o
के		UNK		UNK
साथ		d		d
कोलकाता		o		o
में		UNK		UNK
काली		d		o
माँ		o		o
की		d		d
पूजा		d		d
की		UNK		UNK
जाती		UNK		UNK
है		UNK		UNK
।		UNK		UNK
जिस		d		d
प्रकार		d		d
शेरोंवाली		d		o
माँ		o		o
के		o		o
मंदिर		o		o
में		UNK		UNK
जगराता		d		UNK
होता		UNK		UNK
है		UNK		UNK
,		UNK		UNK
उसी		d		o
प्रकार		d		d
काली		d		o
माँ		o		o
के		o		o
मंदिर		o		o
में		UNK		UNK
जगराता		d		UNK
होता		UNK		UNK
है		UNK		UNK
।		UNK		UNK
इसी		o		o
कारण		d		o
कोलकातावासी		d		o
माँ		d		d
काली		o		o
के		d		o
भक्त		d		UNK
हैं		UNK		UNK
तथा		UNK		UNK
उनके		o		o
शक्ति		d		d
रूप		o		o
को		UNK		UNK
मानते		UNK		UNK
हैं		UNK		UNK
।		UNK		UNK
काली		d		o
मंदिर		o		o
में		UNK		UNK
दर्शन		d		d
किए		UNK		UNK
बिना		UNK		d
कोलकाता		o		o
की		o		d
सैर		d		d
अधूरी		UNK		d
मानी		UNK		UNK
जाती		UNK		UNK
है		UNK		UNK
।		UNK		UNK
कोलकाता		o		o
के		o		o
उत्तर		o		o
में		UNK		UNK
विवेकानंद		d		d
पुल		o		o
के		UNK		UNK
पास		d		d
दक्षिणेश्वर		d		d
काली		d		d
मंदिर		d		d
स्थित		UNK		UNK
है		UNK		UNK
।		UNK		UNK
यह		d		d
मंदिर		d		d
बीबीडी		d		d
बाग		o		o
से		UNK		UNK
20		any		any
किलोमीटर		d		d
दूर		d		d
है		UNK		UNK
।		UNK		UNK
दक्षिणेश्वर		d		d
मंदिर		o		o
का		d		d
निर्माण		d		d
सन		d		o
1847		o		o
में		UNK		UNK
प्रारंभ		d		UNK
हुआ		UNK		UNK
था		UNK		UNK
।		UNK		UNK
जान		d		d
बाजार		o		o
की		o		o
महारानी		o		d
रासमणि		o		o
ने		UNK		UNK
स्वप्न		d		d
देखा		UNK		UNK
था		UNK		UNK
,		UNK		UNK
जिसके		o		o
अनुसार		UNK		UNK
माँ		d		d
काली		o		o
ने		UNK		UNK
उन्हें		o		o
निर्देश		d		d
दिया		UNK		UNK
कि		UNK		UNK
मंदिर		o		o
का		d		d
निर्माण		d		d
किया		UNK		UNK
जाए		UNK		UNK
।		UNK		UNK
इस		o		o
भव्य		o		d
मंदिर		o		o
में		UNK		UNK
माँ		o		o
की		d		o
मूर्ति		d		d
श्रद्धापूर्वक		UNK		d
स्थापित		UNK		UNK
की		UNK		UNK
गई		UNK		UNK
।		UNK		UNK
सन		d		o
1855		o		o
में		UNK		UNK
मंदिर		o		o
का		d		d
निर्माण		d		d
पूरा		UNK		UNK
हुआ		UNK		UNK
।		UNK		UNK
यह		d		d
मंदिर		d		d
25		any		any
एकड़		d		d
क्षेत्र		o		o
में		UNK		UNK
स्थित		UNK		UNK
है		UNK		UNK
।		UNK		UNK
अमेरिका		d		d
सद्दाम		d		d
हुसैन		o		o
की		d		o
न्यायिक		d		o
हिरासत		d		d
इराक		o		o
की		d		o
अंतरिम		o		o
सरकार		o		o
को		UNK		UNK
सौंपने		o		o
पर		UNK		UNK
विचार		d		d
कर		UNK		UNK
रहा		UNK		UNK
है		UNK		UNK
लेकिन		UNK		UNK
वह		d		d
सद्दाम		o		o
को		UNK		UNK
अपनी		o		o
सेना		o		o
के		o		o
कब्जे		o		o
में		UNK		UNK
ही		UNK		UNK
रखेगा		UNK		UNK
।		UNK		UNK
घाजी		d		d
तलाबानी		d		d
नाम		o		o
के		o		o
