Word		Original_feature		Predicted_feature
इसके		NP		NP
अतिरिक्त		NP		NP2
गुग्गुल		NP2		NP2
कुंड		NP2		VGF
,		NP2		BLK
भीम		NP3		NP3
गुफा		NP3		VGF
तथा		CCP		NP4
भीमशिला		NP4		NP2
भी		NP4		NP3
दर्शनीय		NP5		NP4
स्थल		NP5		NP5
हैं		VGF		VGF
।		BLK		BLK
कोलकाता		NP		NP
के		NP		NP
उत्तर		NP2		NP2
में		NP2		NP2
विवेकानंद		NP3		NP3
पुल		NP3		NP3
के		NP3		NP2
पास		NP3		NP3
दक्षिणेश्वर		NP4		NP3
काली		NP4		NP3
मंदिर		NP4		NP5
स्थित		JJP		NP5
है		VGF		VGF
।		BLK		BLK
अमरनाथ		NP		NP
गुफा		NP		NP
में		NP		NP
प्राकृतिक		NP2		NP2
रूप		NP2		NP4
से		NP2		NP3
बने		VGNF		VGNN
हिमलिंग		NP3		NP3
को		NP3		VGF
छह		NP4		NP4
महीनों		NP4		NP3
तक		NP4		NP2
सहेजने		VGNN		VGNN
के		VGNN		NP2
लिए		VGNN		NP3
योजना		NP5		NP3
तैयार		JJP		NP3
की		VGF		NP4
जा		VGF		VGF
रही		VGF		VGF
है		VGF		VGF
।		BLK		BLK
अटल		NP		NP
बिहारी		NP		NP
वाजपेयी		NP		NP
के		NP		NP
तेवर		NP2		NP4
देख		VGNF		NP4
कर		VGNF		NP5
केवल		NP3		NP5
भाजपा		NP3		VGF
ही		NP3		VGF
नहीं		NEGP		NP3
NULL		NULL__VGF		NP3
बल्कि		CCP		NP2
पूरा		NP4		NP2
संघ		NP4		NP3
परिवार		NP4		NP3
सकते		NP5		VGNN
में		NP5		VGF
है		VGF		VGF
।		BLK		BLK
कहते		VGF		NP
हैं		VGF		NP
मोहब्बत		NP		NP
और		CCP		NP
जंग		NP2		NP3
में		NP2		NP4
सब		NP3		NP3
कुछ		NP3		VGF
जायज		JJP		VGF
है		VGF2		VGF
।		BLK		BLK
इराक		NP		NP
के		NP		NP
फलुजा		NP2		NP2
स्थित		JJP		NP2
संदिग्ध		NP3		NP3
आतंकी		NP3		NP3
ठिकाने		NP3		VGNN
पर		NP3		NP5
शनिवार		NP4		NP3
रात		NP4		NP3
हुए		VGNF		VGF
अमेरिकी		NP5		NP5
हवाई		NP5		NP3
हमले		NP5		VGNN
में		NP5		NP2
११		NP6		NP3
लोग		NP6		NP3
मारे		VGF		VGF
गए		VGF		VGF
।		BLK		BLK
फर्जी		NP		NP
पासपोर्ट		NP		NP
मामले		NP		NP
में		NP		NP2
भोपाल		NP2		NP4
की		NP2		NP3
एक		NP3		NP3
स्थानीय		NP3		NP3
अदालत		NP3		NP3
ने		NP3		NP3
मोनिका		NP4		NP4
बेदी		NP4		NP3
के		NP4		NP2
खिलाफ		NP4		NP3
प्रोटेक्शन		NP5		NP3
वारंट		NP5		VGNN
जारी		JJP		JJP
किया		VGF		VGF
है		VGF		VGF
।		BLK		BLK
केंद्र		NP		NP
सरकार		NP		NP
अब		NP2		NP
'		NP3		NP
कैप्टिव		NP3		NP2
पॉवर		NP3		NP2
प्लांट		NP3		VGNN
'		NP3		BLK
लगाने		VGNN		VGNN
के		VGNN		NP
रास्ते		NP4		NP4
की		NP4		NP2
सारी		NP5		NP3
बाधाओं		NP5		NP3
को		NP5		NP3
खत्म		JJP		NP3
करने		VGF		VGNN
जा		VGF		VGF
रही		VGF		VGF
है		VGF		VGF
।		BLK		BLK
लिब्रहान		NP		NP
आयोग		NP		NP
के		NP		NP
समक्ष		NP		NP2
शुक्रवार		NP2		NP3
को		NP2		NP3
भाजपा		NP3		NP4
ने		NP3		NP3
कहा		VGF		VGF
कि		CCP		NP2
वह		NP4		NP4
अयोध्या		NP5		NP3
में		NP5		NP2
विवादित		NP6		NP3
ढाँचे		NP6		VGNN
को		NP6		NP3
गिराए		VGNN		NP3
जाने		VGNN		VGNN
के		VGNN		NP3
विरोध		VGNN		NP4
में		VGNN		VGF
थी		VGF2		VGF
।		BLK		BLK
बिहार		NP		NP
व		CCP		NP
पूर्वोत्तर		NP2		NP
के		NP2		NP
असम		NP3		NP4
,		NP3		BLK
मेघालय		NP4		NP3
व		CCP2		BLK
अरुणाचल		NP5		NP2
प्रदेश		NP5		NP2
में		NP5		NP4
कई		NP6		NP2
दिनों		NP6		NP3
बाद		NP6		VGF
भी		NP6		VGF
बाढ़		NP7		VGF
की		NP7		NP3
स्थिति		NP8		NP2
चिंताजनक		JJP		JJP
बनी		VGF		VGF
हुई		VGF		VGF
है		VGF		VGF
।		BLK		BLK
राष्ट्रीय		NP		NP
महिला		NP		NP
आयोग		NP		NP
ने		NP		NP
भारतीय		NP2		NP3
वायु		NP2		NP4
