Word		Original_feature		Predicted_feature
صدر		sg		sg
تلگودیشم		sg		sg
مسٹر		UNK		UNK
این		sg		sg
چندرا		sg		sg
بابو		sg		sg
نائیڈو		sg		sg
نے		UNK		UNK
کڑپہ		sg		sg
کے		sg		sg
ضمنی		any		any
انتخابات		pl		pl
مےں		UNK		UNK
اضافی		any		any
فورسیس		pl		pl
کی		sg		sg
تعیناتی		sg		sg
کا		sg		sg
مطالبہ		sg		sg
کرتے		any		sg
ہوئے		any		pl
چیف		sg		sg
الیکشن		sg		sg
کمشنر		sg		sg
کو		UNK		UNK
مکتوب		sg		sg
روانہ		any		any
کیا		sg		sg
۔		UNK		UNK
انہوں		sg		sg
نے		UNK		UNK
کڑپہ		sg		sg
کے		sg		sg
پارلیمانی		any		sg
اور		UNK		UNK
پولی		sg		sg
ویندلہ		sg		sg
کے		sg		sg
اسمبلی		any		sg
انتخابات		pl		pl
کو		UNK		UNK
صاف		any		any
و		UNK		UNK
شفاف		any		any
بنانے		any		any
کے		UNK		UNK
لئے		UNK		UNK
زائد		any		any
پولیس		sg		sg
فورس		sg		sg
تعینات		sg		pl
کرنے		any		any
کا		sg		sg
مطالبہ		sg		sg
کرتے		any		sg
ہوئے		any		pl
کہا		sg		sg
کہ		UNK		UNK
ان		pl		pl
انتخابات		pl		pl
مےں		UNK		UNK
غیرسماجی		any		any
عناصر		pl		sg
کی		sg		sg
جانب		sg		sg
سے		UNK		UNK
بدامنی		sg		any
پھیلائے		any		any
جانے		any		any
کا		sg		sg
خدشہ		sg		sg
ہے		sg		sg
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		sg		sg
نے		UNK		UNK
اپنے		sg		any
مکتوب		sg		sg
مےں		UNK		UNK
چیف		sg		sg
الیکشن		sg		sg
کمشنر		sg		sg
سے		UNK		UNK
NULL		UNK		UNK
خواہش		sg		sg
کی		sg		sg
کہ		UNK		UNK
وہ		sg		sg
ہر		any		UNK
حلقہ		sg		sg
اسمبلی		sg		sg
مےں		UNK		UNK
علحدہ		any		any
علحدہ		any		any
فورس		sg		sg
کی		sg		sg
تعیناتی		sg		sg
کو		UNK		UNK
یقینی		any		any
بنانے		any		any
کے		sg		sg
اقدامات		sg		pl
کریں		pl		any
تاکہ		UNK		UNK
آزادانہ		any		any
و		UNK		UNK
منصفانہ		any		any
انتخابات		pl		pl
کو		UNK		UNK
یقینی		any		any
بنایا		sg		sg
جا		any		any
سکے		pl		pl
۔		UNK		UNK
NULL		any		UNK
واضح		any		any
رہے		pl		pl
کہ		UNK		UNK
گزشتہ		any		any
یوم		sg		sg
مسٹر		UNK		UNK
نائیڈو		sg		sg
پر		UNK		UNK
ضلع		sg		sg
کڑپہ		sg		sg
مےں		UNK		UNK
ہوئے		any		pl
حملہ		sg		sg
کے		UNK		UNK
بعد		sg		sg
مسٹر		UNK		UNK
نائیڈو		sg		sg
نے		UNK		UNK
اس		sg		sg
طرح		sg		sg
کے		sg		sg
واقعات		pl		pl
کا		sg		sg
حوالہ		sg		sg
دیتے		any		pl
ہوئے		any		pl
کہا		sg		sg
کہ		UNK		UNK
ضلع		sg		sg
کڑپہ		sg		sg
مےں		UNK		UNK
گروہ_واری		any		sg
عناصر		pl		sg
انتخابات		pl		pl
مےں		UNK		UNK
دھاندلیوں		pl		pl
کی		sg		sg
منصوبہ_بندی		sg		sg
کر		any		any
رہے		pl		pl
ہیں		pl		pl
۔		UNK		UNK
انہوں		sg		sg
نے		UNK		UNK
بتایا		sg		sg
کہ		UNK		UNK
جمہوریت		sg		sg
کی		sg		sg
بقاء		sg		sg
کے		UNK		UNK
لئے		UNK		UNK
یہ		sg		sg
ضروری		any		any
ہے		sg		sg
کہ		UNK		UNK
چیف		sg		sg
الیکشن		sg		sg
کمشنر		sg		sg
کی		sg		sg
جانب		sg		sg
سے		UNK		UNK
ان		pl		pl
انتخابات		pl		pl
کی		sg		sg
راست		any		any
نگرانی		sg		sg
اور		UNK		UNK
غنڈہ		any		sg
عناصر		pl		sg
پر		UNK		UNK
کنٹرول		sg		sg
کے		UNK		UNK
لئے		UNK		UNK
سخت_ترین		any		any
انتظامات		pl		pl
کئے		pl		pl
جائیں		pl		pl
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		sg		sg
نے		UNK		UNK
سی		sg		sg
ای		sg		sg
سی		sg		sg
کو		UNK		UNK
روانہ_کردہ		any		any
مکتوب		sg		sg
مےں		UNK		UNK
اس		sg		sg
بات		sg		sg
کی		sg		sg
طرف		sg		sg
بھی		UNK		UNK
اشارہ		sg		sg
کیا		sg		sg
کہ		UNK		UNK
علاقے		sg		sg
مےں		UNK		UNK
وائی		sg		sg
ایس		sg		sg
جگن		sg		sg
موہن		sg		sg
ریڈی		sg		sg
کی		sg		sg
جانب		sg		sg
سے		UNK		UNK
بدعنوانیوں		pl		pl
و		UNK		UNK
بےقاعدگیوں		pl		pl
کے		UNK		UNK
ذریعہ		UNK		UNK
حاصل_کردہ		any		any
دولت		sg		sg
کے		sg		sg
استعمال		sg		sg
کے		UNK		UNK
ذریعہ		UNK		sg
رائےدہندوں		pl		pl
کو		UNK		UNK
راغب		any		any
کرنے		any		any
کی		sg		sg
کوشش		sg		sg
کی		sg		sg
جا		any		any
رہی		sg		sg
ہے		sg		sg
جو		sg		sg
کہ		UNK		UNK
انتخابی		any		any
ضابطہ		sg		sg
اخلاق		sg		sg
کی		sg		sg
سنگین		any		sg
خلاف_ورزی		sg		sg
ہے		sg		sg
-		UNK		UNK
اےک		any		any
شخص		sg		sg
نے		UNK		UNK
مبینہ		any		any
طور		sg		sg
پر		UNK		UNK
اپنی		sg		any
منگیتر		sg		sg
اور		UNK		UNK
اس		sg		sg
کے		sg		sg
والدین		sg		pl
پر		UNK		UNK
چاقو		sg		sg
سے		UNK		UNK
حملہ		sg		sg
کر		any		any
کے		sg		any
زخمی		any		sg
کر		any		any
دیا		sg		sg
۔		UNK		UNK
پولیس		sg		sg
نے		UNK		UNK
بتایا		sg		sg
کہ		UNK		UNK
نوجوان		any		any
لڑکی		sg		sg
کی		sg		sg
پاک_دامنی		sg		sg
پر		UNK		UNK
شبہ		sg		sg
کرتے		any		sg
ہوئے		any		sg
حملہ		sg		sg
کیا		sg		sg
۔		UNK		UNK
ڈی		sg		sg
بھارت		sg		sg
کرشنا		sg		sg
خانگی		any		any
