Word		Original_feature		Predicted_feature
صدر		m		m
تلگودیشم		m		m
مسٹر		UNK		UNK
این		m		m
چندرا		m		m
بابو		m		m
نائیڈو		m		m
نے		UNK		UNK
کڑپہ		m		m
کے		m		m
ضمنی		any		any
انتخابات		m		m
مےں		UNK		UNK
اضافی		any		any
فورسیس		m		m
کی		f		f
تعیناتی		m		m
کا		m		m
مطالبہ		m		m
کرتے		any		m
ہوئے		any		any
چیف		m		m
الیکشن		m		m
کمشنر		m		m
کو		UNK		UNK
مکتوب		m		m
روانہ		any		any
کیا		m		m
۔		UNK		UNK
انہوں		m		any
نے		UNK		UNK
کڑپہ		m		m
کے		m		m
پارلیمانی		any		m
اور		UNK		UNK
پولی		m		f
ویندلہ		m		m
کے		m		m
اسمبلی		any		any
انتخابات		m		m
کو		UNK		UNK
صاف		any		any
و		UNK		UNK
شفاف		any		any
بنانے		any		any
کے		UNK		UNK
لئے		UNK		UNK
زائد		any		any
پولیس		f		f
فورس		m		m
تعینات		m		m
کرنے		any		any
کا		m		m
مطالبہ		m		m
کرتے		any		m
ہوئے		any		any
کہا		m		m
کہ		UNK		UNK
ان		any		any
انتخابات		m		m
مےں		UNK		UNK
غیرسماجی		any		any
عناصر		m		m
کی		f		f
جانب		m		m
سے		UNK		UNK
بدامنی		f		any
پھیلائے		any		any
جانے		any		any
کا		m		m
خدشہ		m		m
ہے		any		any
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		m		m
نے		UNK		UNK
اپنے		m		any
مکتوب		m		m
مےں		UNK		UNK
چیف		m		m
الیکشن		m		m
کمشنر		m		m
سے		UNK		UNK
NULL		UNK		UNK
خواہش		f		f
کی		f		f
کہ		UNK		UNK
وہ		any		any
ہر		any		any
حلقہ		m		m
اسمبلی		m		m
مےں		UNK		UNK
علحدہ		any		any
علحدہ		any		any
فورس		m		m
کی		f		f
تعیناتی		f		m
کو		UNK		UNK
یقینی		any		any
بنانے		any		any
کے		m		m
اقدامات		m		m
کریں		any		any
تاکہ		UNK		UNK
آزادانہ		any		any
و		UNK		UNK
منصفانہ		any		any
انتخابات		m		m
کو		UNK		UNK
یقینی		any		any
بنایا		m		m
جا		any		any
سکے		m		m
۔		UNK		UNK
NULL		any		UNK
واضح		any		any
رہے		m		m
کہ		UNK		UNK
گزشتہ		any		any
یوم		m		m
مسٹر		UNK		UNK
نائیڈو		m		m
پر		UNK		UNK
ضلع		m		m
کڑپہ		m		m
مےں		UNK		UNK
ہوئے		any		any
حملہ		m		m
کے		UNK		UNK
بعد		m		m
مسٹر		UNK		UNK
نائیڈو		m		m
نے		UNK		UNK
اس		any		any
طرح		m		m
کے		m		m
واقعات		m		m
کا		m		m
حوالہ		m		m
دیتے		any		m
ہوئے		any		any
کہا		m		m
کہ		UNK		UNK
ضلع		m		m
کڑپہ		m		m
مےں		UNK		UNK
گروہ_واری		any		m
عناصر		m		m
انتخابات		m		m
مےں		UNK		UNK
دھاندلیوں		m		m
کی		f		f
منصوبہ_بندی		f		m
کر		any		any
رہے		m		m
ہیں		m		any
۔		UNK		UNK
انہوں		m		any
نے		UNK		UNK
بتایا		m		m
کہ		UNK		UNK
جمہوریت		f		m
کی		f		f
بقاء		f		m
کے		UNK		UNK
لئے		UNK		UNK
یہ		any		any
ضروری		any		any
ہے		any		any
کہ		UNK		UNK
چیف		m		m
الیکشن		m		m
کمشنر		m		m
کی		f		f
جانب		m		m
سے		UNK		UNK
ان		any		any
انتخابات		m		m
کی		f		f
راست		any		any
نگرانی		f		any
اور		UNK		UNK
غنڈہ		any		m
عناصر		m		m
پر		UNK		UNK
کنٹرول		m		m
کے		UNK		UNK
لئے		UNK		UNK
سخت_ترین		any		any
انتظامات		m		m
کئے		m		any
جائیں		m		any
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		m		m
نے		UNK		UNK
سی		m		m
ای		m		m
سی		m		m
کو		UNK		UNK
روانہ_کردہ		any		any
مکتوب		m		m
مےں		UNK		UNK
اس		any		any
بات		f		f
کی		f		f
طرف		m		m
بھی		UNK		UNK
اشارہ		m		m
کیا		m		m
کہ		UNK		UNK
علاقے		m		m
مےں		UNK		UNK
وائی		m		m
ایس		m		m
جگن		m		m
موہن		m		m
ریڈی		m		m
کی		f		f
جانب		m		m
سے		UNK		UNK
بدعنوانیوں		f		m
و		UNK		UNK
بےقاعدگیوں		f		m
کے		UNK		UNK
ذریعہ		m		UNK
حاصل_کردہ		any		any
دولت		f		f
کے		m		m
استعمال		m		m
کے		UNK		UNK
ذریعہ		m		m
رائےدہندوں		m		m
کو		UNK		UNK
راغب		any		any
کرنے		any		any
کی		f		f
کوشش		f		f
کی		f		f
جا		any		any
رہی		f		f
ہے		any		any
جو		any		any
کہ		UNK		UNK
انتخابی		any		any
ضابطہ		m		m
اخلاق		m		m
کی		f		f
سنگین		any		m
خلاف_ورزی		m		m
ہے		any		any
-		UNK		UNK
اےک		any		any
شخص		m		m
نے		UNK		UNK
مبینہ		any		any
طور		m		m
پر		UNK		UNK
اپنی		f		f
منگیتر		f		m
اور		UNK		UNK
اس		any		any
کے		m		m
والدین		any		m
پر		UNK		UNK
چاقو		m		m
سے		UNK		UNK
حملہ		m		m
کر		any		any
کے		m		any
زخمی		any		m
کر		any		any
دیا		m		m
۔		UNK		UNK
پولیس		f		f
نے		UNK		UNK
بتایا		m		m
کہ		UNK		UNK
نوجوان		any		any
لڑکی		f		f
کی		f		f
پاک_دامنی		f		m
پر		UNK		UNK
شبہ		m		m
کرتے		any		m
ہوئے		any		any
حملہ		m		m
کیا		m		m
۔		UNK		UNK
ڈی		m		m
بھارت		m		m
کرشنا		m		m
خانگی		any		any
ملازم		m		m
جو		any		any
24		any		any
سالہ		any		any
خاتون		f		f
فروین		m		m
صنم		m		m
متعلم		any		any
ایم		m		m
کام		m		m
سے		UNK		UNK
عشق		m		m
کرتا		m		m
تھا		m		m
۔		UNK		UNK
دونوں		any		m
کے		m		m
ارکان		m		m
خاندان		m		m
ان		any		any
کی		f		f
