Word		Original_feature		Predicted_feature
صدر		o		d
تلگودیشم		o		d
مسٹر		UNK		UNK
این		d		d
چندرا		d		d
بابو		d		d
نائیڈو		o		o
نے		UNK		UNK
کڑپہ		o		o
کے		o		o
ضمنی		o		o
انتخابات		o		o
مےں		UNK		UNK
اضافی		o		d
فورسیس		o		o
کی		o		d
تعیناتی		o		o
کا		d		d
مطالبہ		d		d
کرتے		UNK		UNK
ہوئے		UNK		UNK
چیف		d		d
الیکشن		d		d
کمشنر		o		o
کو		UNK		UNK
مکتوب		d		d
روانہ		any		UNK
کیا		UNK		UNK
۔		UNK		UNK
انہوں		o		o
نے		UNK		UNK
کڑپہ		o		o
کے		d		o
پارلیمانی		o		o
اور		UNK		UNK
پولی		d		o
ویندلہ		o		o
کے		o		o
اسمبلی		o		d
انتخابات		o		o
کو		UNK		UNK
صاف		d		UNK
و		UNK		UNK
شفاف		d		UNK
بنانے		o		o
کے		UNK		UNK
لئے		UNK		UNK
زائد		d		d
پولیس		d		d
فورس		o		d
تعینات		d		d
کرنے		o		o
کا		d		d
مطالبہ		d		d
کرتے		UNK		UNK
ہوئے		UNK		UNK
کہا		UNK		UNK
کہ		UNK		UNK
ان		o		o
انتخابات		o		o
مےں		UNK		UNK
غیرسماجی		o		o
عناصر		o		o
کی		o		o
جانب		o		o
سے		UNK		UNK
بدامنی		o		d
پھیلائے		UNK		UNK
جانے		o		o
کا		d		d
خدشہ		d		d
ہے		UNK		UNK
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		o		o
نے		UNK		UNK
اپنے		o		o
مکتوب		o		o
مےں		UNK		UNK
چیف		d		d
الیکشن		d		d
کمشنر		o		o
سے		UNK		UNK
NULL		UNK		UNK
خواہش		o		d
کی		UNK		UNK
کہ		UNK		UNK
وہ		d		d
ہر		o		UNK
حلقہ		d		d
اسمبلی		o		o
مےں		UNK		UNK
علحدہ		o		d
علحدہ		o		o
فورس		o		o
کی		o		d
تعیناتی		o		o
کو		UNK		UNK
یقینی		o		d
بنانے		o		o
کے		d		o
اقدامات		o		d
کریں		UNK		UNK
تاکہ		UNK		UNK
آزادانہ		o		o
و		UNK		UNK
منصفانہ		o		o
انتخابات		o		o
کو		UNK		UNK
یقینی		UNK		d
بنایا		UNK		UNK
جا		UNK		UNK
سکے		UNK		UNK
۔		UNK		UNK
NULL		UNK		UNK
واضح		UNK		UNK
رہے		UNK		UNK
کہ		UNK		UNK
گزشتہ		d		o
یوم		d		d
مسٹر		UNK		UNK
نائیڈو		o		o
پر		UNK		UNK
ضلع		o		d
کڑپہ		o		o
مےں		UNK		UNK
ہوئے		UNK		UNK
حملہ		o		o
کے		UNK		UNK
بعد		d		d
مسٹر		UNK		UNK
نائیڈو		o		o
نے		UNK		UNK
اس		o		o
طرح		o		o
کے		o		o
واقعات		o		o
کا		d		d
حوالہ		d		d
دیتے		UNK		UNK
ہوئے		UNK		UNK
کہا		UNK		UNK
کہ		UNK		UNK
ضلع		o		d
کڑپہ		o		o
مےں		UNK		UNK
گروہ_واری		d		d
عناصر		o		d
انتخابات		o		o
مےں		UNK		UNK
دھاندلیوں		o		o
کی		d		d
منصوبہ_بندی		d		d
کر		UNK		UNK
رہے		UNK		UNK
ہیں		UNK		UNK
۔		UNK		UNK
انہوں		o		o
نے		UNK		UNK
بتایا		UNK		UNK
کہ		UNK		UNK
جمہوریت		o		o
کی		o		d
بقاء		o		o
کے		UNK		UNK
لئے		UNK		UNK
یہ		d		d
ضروری		UNK		UNK
ہے		UNK		UNK
کہ		UNK		UNK
چیف		d		d
الیکشن		d		d
کمشنر		o		o
کی		o		d
جانب		o		d
سے		UNK		UNK
ان		o		o
انتخابات		o		o
کی		d		d
راست		o		UNK
نگرانی		o		o
اور		UNK		UNK
غنڈہ		o		d
عناصر		o		o
پر		UNK		UNK
کنٹرول		o		o
کے		UNK		UNK
لئے		UNK		UNK
سخت_ترین		d		d
انتظامات		d		d
کئے		UNK		UNK
