Word		Original_feature		Predicted_feature
صدر		0		0
تلگودیشم		0		0
مسٹر		UNK		UNK
این		0		0
چندرا		0		0
بابو		0		0
نائیڈو		0		0
نے		UNK		UNK
کڑپہ		0		0
کے		UNK		UNK
ضمنی		UNK		UNK
انتخابات		0		0
مےں		UNK		UNK
اضافی		UNK		UNK
فورسیس		0		0
کی		UNK		UNK
تعیناتی		0		0
کا		UNK		UNK
مطالبہ		0		0
کرتے		wA		wA
ہوئے		yA		yA
چیف		0		0
الیکشن		0		0
کمشنر		0		0
کو		UNK		UNK
مکتوب		0		0
روانہ		UNK		UNK
کیا		yA		yA
۔		UNK		UNK
انہوں		0		0
نے		UNK		UNK
کڑپہ		0		0
کے		UNK		UNK
پارلیمانی		UNK		0
اور		UNK		UNK
پولی		0		UNK
ویندلہ		0		0
کے		UNK		UNK
اسمبلی		UNK		UNK
انتخابات		0		0
کو		UNK		UNK
صاف		UNK		UNK
و		UNK		UNK
شفاف		UNK		UNK
بنانے		nA		nA
کے		UNK		UNK
لئے		UNK		UNK
زائد		UNK		UNK
پولیس		0		0
فورس		0		0
تعینات		0		0
کرنے		nA		nA
کا		UNK		UNK
مطالبہ		0		0
کرتے		wA		wA
ہوئے		yA		yA
کہا		yA		yA
کہ		UNK		UNK
ان		UNK		UNK
انتخابات		0		0
مےں		UNK		UNK
غیرسماجی		UNK		UNK
عناصر		0		0
کی		UNK		UNK
جانب		UNK		UNK
سے		UNK		UNK
بدامنی		0		UNK
پھیلائے		yA		yA
جانے		nA		nA
کا		UNK		UNK
خدشہ		0		0
ہے		hE		hE
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		0		0
نے		UNK		UNK
اپنے		0		0
مکتوب		0		0
مےں		UNK		UNK
چیف		0		0
الیکشن		0		0
کمشنر		0		0
سے		UNK		UNK
NULL		UNK		UNK
خواہش		0		0
کی		yA		yA
کہ		UNK		UNK
وہ		0		0
ہر		UNK		UNK
حلقہ		0		0
اسمبلی		0		0
مےں		UNK		UNK
علحدہ		UNK		UNK
علحدہ		UNK		UNK
فورس		0		0
کی		UNK		UNK
تعیناتی		0		0
کو		UNK		UNK
یقینی		UNK		UNK
بنانے		nA		nA
کے		UNK		UNK
اقدامات		0		0
کریں		eM		eM
تاکہ		UNK		UNK
آزادانہ		UNK		UNK
و		UNK		UNK
منصفانہ		UNK		UNK
انتخابات		0		0
کو		UNK		UNK
یقینی		UNK		UNK
بنایا		yA		yA
جا		0		0
سکے		yA		yA
۔		UNK		UNK
NULL		UNK		UNK
واضح		UNK		UNK
رہے		yA		yA
کہ		UNK		UNK
گزشتہ		UNK		UNK
یوم		0		0
مسٹر		UNK		UNK
نائیڈو		0		0
پر		UNK		UNK
ضلع		0		0
کڑپہ		0		0
مےں		UNK		UNK
ہوئے		yA		yA
حملہ		0		0
کے		UNK		UNK
بعد		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		0		0
نے		UNK		UNK
اس		UNK		UNK
طرح		0		0
کے		UNK		UNK
واقعات		0		0
کا		UNK		UNK
حوالہ		0		0
دیتے		wA		wA
ہوئے		yA		yA
کہا		yA		yA
کہ		UNK		UNK
ضلع		0		0
کڑپہ		0		0
مےں		UNK		UNK
گروہ_واری		UNK		0
عناصر		0		0
انتخابات		0		0
مےں		UNK		UNK
دھاندلیوں		0		0
کی		UNK		UNK
منصوبہ_بندی		0		0
کر		0		0
رہے		yA		yA
ہیں		hE		hE
۔		UNK		UNK
انہوں		0		0
نے		UNK		UNK
بتایا		yA		yA
کہ		UNK		UNK
جمہوریت		0		0
کی		UNK		UNK
بقاء		0		0
کے		UNK		UNK
لئے		UNK		UNK
یہ		0		UNK
ضروری		UNK		UNK
ہے		hE		hE
کہ		UNK		UNK
چیف		0		0
الیکشن		0		0
کمشنر		0		0
کی		UNK		UNK
جانب		UNK		UNK
سے		UNK		UNK
ان		UNK		UNK
انتخابات		0		0
کی		UNK		UNK
راست		UNK		UNK
نگرانی		0		0
اور		UNK		UNK
غنڈہ		UNK		0
عناصر		0		0
پر		UNK		UNK
کنٹرول		0		0
کے		UNK		UNK
لئے		UNK		UNK
سخت_ترین		UNK		UNK
انتظامات		0		0
کئے		yA		yA
جائیں		eM		eM
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		0		0
نے		UNK		UNK
سی		0		0
ای		0		0
سی		0		0
کو		UNK		UNK
روانہ_کردہ		UNK		UNK
مکتوب		0		0
مےں		UNK		UNK
اس		UNK		UNK
بات		0		0
کی		UNK		UNK
طرف		UNK		UNK
بھی		UNK		UNK
اشارہ		0		0
کیا		yA		yA
کہ		UNK		UNK
علاقے		0		0
مےں		UNK		UNK
وائی		0		0
ایس		0		0
جگن		0		0
موہن		0		0
ریڈی		0		0
کی		UNK		UNK
جانب		UNK		UNK
سے		UNK		UNK
بدعنوانیوں		0		0
و		UNK		UNK
بےقاعدگیوں		0		0
کے		UNK		UNK
ذریعہ		UNK		UNK
حاصل_کردہ		UNK		UNK
دولت		0		0
کے		UNK		UNK
استعمال		0		0
کے		UNK		UNK
ذریعہ		UNK		UNK
رائےدہندوں		0		0
کو		UNK		UNK
راغب		UNK		UNK
کرنے		nA		nA
کی		UNK		UNK
کوشش		0		0
کی		yA		yA
جا		0		0
رہی		yA		yA
ہے		hE		hE
جو		0		0
کہ		UNK		UNK
انتخابی		UNK		UNK
ضابطہ		0		0
اخلاق		0		0
کی		UNK		UNK
سنگین		UNK		0
خلاف_ورزی		0		0
ہے		hE		hE
-		UNK		UNK
اےک		UNK		UNK
شخص		0		0
نے		UNK		UNK
مبینہ		UNK		UNK
طور		0		0
پر		UNK		UNK
اپنی		0		0
منگیتر		0		0
اور		UNK		UNK
اس		0		0
کے		UNK		UNK
والدین		0		0
پر		UNK		UNK
چاقو		0		0
سے		UNK		UNK
حملہ		0		0
کر		0		0
کے		ka		0
زخمی		UNK		0
کر		0		0
دیا		yA		yA
۔		UNK		UNK
پولیس		0		0
نے		UNK		UNK
بتایا		yA		yA
کہ		UNK		UNK
نوجوان		UNK		UNK
لڑکی		0		0
کی		UNK		UNK
پاک_دامنی		0		0
پر		UNK		UNK
شبہ		0		0
کرتے		wA		wA
ہوئے		yA		yA
حملہ		0		0
کیا		yA		yA
۔		UNK		UNK
ڈی		0		0
بھارت		0		0
کرشنا		0		0
خانگی		UNK		UNK
ملازم		0		0
جو		0		0
24		UNK		UNK
سالہ		UNK		UNK
خاتون		0		0
فروین		0		0
صنم		0		0
متعلم		UNK		UNK
ایم		0		0
کام		0		0
سے		UNK		UNK
عشق		0		0
کرتا		wA		wA
تھا		WA		WA
۔		UNK		UNK
دونوں		0		UNK
کے		UNK		UNK
ارکان		0		0
خاندان		0		0
ان		0		0
کی		UNK		UNK
اس		UNK		UNK
سال		0		0
فبروری		0		0
مےں		UNK		UNK
