Word		Original_feature		Predicted_feature
इसके		any		m
अतिरिक्त		UNK		UNK
गुग्गुल		m		m
कुंड		m		m
,		UNK		UNK
भीम		m		m
गुफा		f		m
तथा		UNK		UNK
भीमशिला		f		f
भी		UNK		UNK
दर्शनीय		any		any
स्थल		m		m
हैं		any		any
।		UNK		UNK
कोलकाता		m		m
के		m		m
उत्तर		m		m
में		UNK		UNK
विवेकानंद		m		any
पुल		m		m
के		UNK		UNK
पास		m		m
दक्षिणेश्वर		m		m
काली		f		f
मंदिर		m		m
स्थित		any		any
है		any		any
।		UNK		UNK
कहते		m		m
हैं		any		any
मोहब्बत		f		m
और		UNK		UNK
जंग		f		m
में		UNK		UNK
सब		UNK		m
कुछ		any		UNK
जायज		any		any
है		any		any
।		UNK		UNK
काँची		m		m
कामकोटि		m		m
पीठ		f		f
के		m		m
शंकराचार्य		m		m
जयेंद्र		m		m
सरस्वती		any		m
को		UNK		UNK
कोर्ट		m		m
ने		UNK		UNK
आज		m		m
भी		UNK		UNK
किसी		any		any
तरह		f		f
की		f		f
राहत		f		f
नहीं		UNK		UNK
दी		f		f
।		UNK		UNK
सरकार		f		f
एड्स		m		m
के		m		m
मुफ्त		any		any
इलाज		m		m
की		f		f
सुविधा		f		f
को		UNK		UNK
और		UNK		UNK
अधिक		UNK		UNK
समय		m		m
के		UNK		UNK
लिए		UNK		UNK
बढ़ा		f		f
रही		f		f
है		any		any
।		UNK		UNK
दिल्ली		f		f
विश्वविद्यालय		m		m
की		f		f
तरह		f		f
रैगिंग		f		f
का		m		m
साया		m		m
अब		UNK		UNK
गुड़गाँव		m		m
के		m		m
कॉलेजों		m		m
पर		UNK		UNK
भी		UNK		UNK
पड़ने		m		m
लगा		m		m
है		any		any
।		UNK		UNK
उत्तर		m		m
भारत		m		m
के		m		m
कई		UNK		UNK
स्थानों		m		m
में		UNK		UNK
बृहस्पतिवार		m		m
की		f		f
सुबह		f		f
तक		UNK		UNK
भारी		any		any
वर्षा		f		f
रिकॉर्ड		f		m
की		f		f
गई		f		f
।		UNK		UNK
देश		m		m
का		m		m
एक		any		any
तिहाई		any		any
हिस्सा		m		m
सूखे		m		m
की		f		f
चपेट		f		f
में		UNK		UNK
आ		m		m
चुका		m		m
है		any		any
।		UNK		UNK
सरकारी		any		any
क्षेत्र		m		m
के		m		m
बैंकों		m		m
के		m		m
प्रमुख		m		any
सोमवार		m		m
को		UNK		UNK
वित्त		m		m
मंत्री		m		m
