Word		Original_feature		Predicted_feature
इसके		o		o
अतिरिक्त		UNK		UNK
गुग्गुल		d		d
कुंड		d		o
,		UNK		UNK
भीम		d		d
गुफा		d		d
तथा		UNK		UNK
भीमशिला		d		d
भी		UNK		UNK
दर्शनीय		d		d
स्थल		d		d
हैं		UNK		UNK
।		UNK		UNK
कोलकाता		o		o
के		o		o
उत्तर		o		o
में		UNK		UNK
विवेकानंद		d		o
पुल		o		o
के		UNK		UNK
पास		d		d
दक्षिणेश्वर		d		d
काली		d		d
मंदिर		d		d
स्थित		UNK		UNK
है		UNK		UNK
।		UNK		UNK
कहते		UNK		UNK
हैं		UNK		UNK
मोहब्बत		o		o
और		UNK		UNK
जंग		o		o
में		UNK		UNK
सब		UNK		d
कुछ		d		UNK
जायज		UNK		UNK
है		UNK		UNK
।		UNK		UNK
काँची		d		d
कामकोटि		d		d
पीठ		o		o
के		o		o
शंकराचार्य		o		o
जयेंद्र		d		d
सरस्वती		o		o
को		UNK		UNK
कोर्ट		o		o
ने		UNK		UNK
आज		d		d
भी		UNK		UNK
किसी		o		o
तरह		o		o
की		d		d
राहत		d		d
नहीं		UNK		UNK
दी		UNK		UNK
।		UNK		UNK
सरकार		d		d
एड्स		o		o
के		o		o
मुफ्त		o		o
इलाज		o		o
की		o		o
सुविधा		o		o
को		UNK		UNK
और		UNK		UNK
अधिक		UNK		UNK
समय		o		o
के		UNK		UNK
लिए		UNK		UNK
बढ़ा		UNK		UNK
रही		UNK		UNK
है		UNK		UNK
।		UNK		UNK
दिल्ली		d		d
विश्वविद्यालय		o		o
की		o		o
तरह		o		o
रैगिंग		o		o
का		d		d
साया		d		UNK
अब		d		d
गुड़गाँव		o		o
के		o		o
कॉलेजों		o		o
पर		UNK		UNK
भी		UNK		UNK
पड़ने		UNK		UNK
लगा		UNK		UNK
है		UNK		UNK
।		UNK		UNK
उत्तर		d		d
भारत		o		o
के		o		o
कई		UNK		UNK
स्थानों		o		o
में		UNK		UNK
बृहस्पतिवार		o		o
की		o		o
सुबह		o		o
तक		UNK		UNK
भारी		d		o
वर्षा		d		d
रिकॉर्ड		d		UNK
की		UNK		UNK
गई		UNK		UNK
।		UNK		UNK
देश		o		o
का		d		d
एक		any		any
तिहाई		any		d
हिस्सा		d		d
सूखे		o		o
की		o		o
चपेट		o		o
में		UNK		UNK
आ		UNK		UNK
चुका		UNK		UNK
है		UNK		UNK
।		UNK		UNK
सरकारी		o		o
क्षेत्र		o		o
के		o		o
बैंकों		o		o
के		d		o
प्रमुख		d		o
सोमवार		o		o
को		UNK		UNK
वित्त		d		d
मंत्री		d		d
पी.		d		d
चिदंबरम		o		o
से		UNK		UNK
मिलेंगे		UNK		UNK
।		UNK		UNK
लोकसभा		o		o
ने		UNK		UNK
मंगलवार		o		o
को		UNK		UNK
राष्ट्रीय		d		d
ग्रामीण		d		o
रोजगार		d		d
गारंटी		d		d
बिल		d		d
,		UNK		UNK
२००४		o		o
को		UNK		UNK
ध्वनिमत		o		o
से		UNK		UNK
पारित		UNK		UNK
कर		UNK		UNK
दिया		UNK		UNK
।		UNK		UNK
प्रधानमंत्री		d		d
पद		d		d
संभालने		o		o
के		UNK		UNK
बाद		d		d
डॉ.		d		d
मनमोहन		d		d
सिंह		d		d
अपनी		o		o
राजनीतिक		o		o
यात्रा		o		o
का		d		d
सिलसिला		d		d
आंध्र		d		d
प्रदेश		o		o
से		UNK		UNK
शुरू		d		d
करेंगे		UNK		UNK
।		UNK		UNK
केंद्रीय		o		o
कृषि		d		d
मंत्री		d		d
शरद		d		d
पवार		o		o
ने		UNK		UNK
लोगों		o		o
से		UNK		UNK
जमकर		UNK		UNK
चिकन		d		d
खाने		o		o
का		d		d
आह्वान		d		d
किया		UNK		UNK
है		UNK		UNK
।		UNK		UNK
अमेरिकी		o		o
राष्ट्रपति		d		d
जॉर्ज		d		d
डब्लू.		d		d
बुश		o		o
की		d		o
भारत		d		d
यात्रा		o		o
की		d		o
सफलता		d		d
परमाणु		d		d
समझौते		o		o
पर		UNK		UNK
निर्भर		UNK		UNK
है		UNK		UNK
।		UNK		UNK
पिछले		o		o
१४		d		o
जून		o		o
को		UNK		UNK
अगवा		UNK		UNK
किए		UNK		UNK
गए		UNK		UNK
छह		any		any
छोटे		o		o
व्यापारियों		o		o
की		d		o
आतंकियों		o		o
ने		UNK		UNK
बांग्लादेश		o		o
में		UNK		UNK
हत्या		d		d
कर		d		UNK
दी		UNK		UNK
।		UNK		UNK
जम्मू		d		d
कश्मीर		o		o
और		UNK		UNK
उत्तरी		o		o
पाकिस्तान		o		o
में		UNK		UNK
शनिवार		d		d
सुबह		d		d
भूकंप		o		o
के		d		o
जोरदार		d		UNK
झटके		d		d
महसूस		UNK		UNK
किए		UNK		UNK
गए		UNK		UNK
।		UNK		UNK
केंद्र		o		o
ने		UNK		UNK
बृहस्पतिवार		o		o
को		UNK		UNK
नौकरशाही		o		o
में		UNK		UNK
खाली		UNK		o
पड़े		UNK		UNK
कई		UNK		UNK
पदों		o		o
पर		UNK		UNK
नियुक्तियाँ		d		d
कीं		UNK		UNK
।		UNK		UNK
पाकिस्तान		o		o
के		o		o
प्रधानमंत्री		o		o
जफरुल्ला		d		d
खान		d		d
जमाली		o		o
ने		UNK		UNK
शनिवार		o		o
को		UNK		UNK
प्रधानमंत्री		d		d
मनमोहन		d		d
सिंह		o		o
से		UNK		UNK
बात		d		d
की		UNK		UNK
।		UNK		UNK
सर्दियों		o		o
के		o		o
कदमों		o		o
की		o		o
आहट		o		o
को		UNK		UNK
महसूस		UNK		UNK
करते		UNK		UNK
हुए		UNK		UNK
पर्यटन		d		d
तंत्र		o		o
में		UNK		UNK
ऊर्जा		o		o
का		d		d
संचार		d		d
होने		UNK		UNK
लगा		UNK		UNK
है		UNK		UNK
।		UNK		UNK
ज्योतिषियों		o		o
के		o		o
बयान		o		o
के		UNK		UNK
बाद		d		d
किया		UNK		UNK
दावा		d		d
-		UNK		UNK
पुरातत्वविदों		o		o
का		d		d
मानना		d		d
है		UNK		UNK
कि		UNK		UNK
अमृतसर		o		o
का		d		d
इतिहास		d		d
यहां		o		o
की		o		o
जमीन		o		o
में		UNK		UNK
आज		d		d
भी		UNK		UNK
दफन		UNK		d
है		UNK		UNK
।		UNK		UNK
ओंकारेश्वर		d		d
मंदिर		o		o
में		UNK		UNK
भगवान		d		d
मदमहेश्वर		o		o
की		d		d
डोली		d		d
आज		d		d
मुख्य		o		o
मंदिर		o		o
से		UNK		UNK
निकालकर		UNK		UNK
गद्दी		d		d
स्थल		o		o
में		UNK		UNK
रखी		UNK		UNK
गई		UNK		UNK
।		UNK		UNK
पद्मभूषण		d		d
और		UNK		UNK
पद्मश्री		d		o
स्वामी		d		d
कल्याण		d		d
देव		o		d
जी		UNK		o
को		UNK		UNK
आज		d		d
वेद		d		o
मंत्रोच्चारों		o		o
के		UNK		UNK
बीच		d		d
समाधि		d		d
दे		UNK		UNK
दी		UNK		UNK
गई		UNK		UNK
।		UNK		UNK
अधिकारियों		o		o
ने		UNK		UNK
बताया		UNK		UNK
कि		UNK		UNK
मंगलवार		o		o
की		d		d
सुबह		d		d
10		any		any
गाड़ियों		o		o
में		UNK		UNK
करीब		UNK		UNK
200		any		any
श्रद्धालु		d		d
जम्मू		o		o
से		UNK		UNK
रवाना		UNK		UNK
हुए		UNK		UNK
।		UNK		UNK
भारी		o		o
बारिश		o		o
के		o		o
कारण		o		o
दोनों		any		any
मार्गों		o		o
में		UNK		UNK
फिसलन		o		o
को		UNK		UNK
देखते		UNK		UNK
हुए		UNK		UNK
अधिकारियों		o		o
ने		UNK		UNK
यात्रा		d		d
स्थगित		UNK		UNK
कर		UNK		UNK
दी		UNK		UNK
थी		UNK		UNK
।		UNK		UNK
सुरक्षा		d		d
बलों		o		o
को		UNK		UNK
भाजपा		o		o
और		UNK		UNK
विहिप		o		o
के		o		o
बंद		o		o
के		UNK		UNK
मद्देनजर		UNK		UNK
भी		UNK		UNK
सतर्क		UNK		UNK
रहने		o		o
को		UNK		UNK
कहा		UNK		UNK
गया		UNK		UNK
है		UNK		UNK
।		UNK		UNK
शीतकाल		o		o
के		UNK		UNK
लिए		UNK		UNK
कपाट		d		d
बंद		UNK		UNK
होने		o		o
से		UNK		UNK
पूर्व		d		o
मंदिर		o		o
को		UNK		UNK
शानदार		o		o
तरीके		o		o
से		UNK		UNK
फूलों		o		o
से		UNK		UNK
सजाया		UNK		UNK
गया		UNK		UNK
।		UNK		UNK
सिविल		d		d
लाइंस		o		o
से		UNK		UNK
गौरव		d		d
कपूर		d		d
सात		any		any
लोगों		o		o
के		UNK		UNK
साथ		d		d
23		d		d
जुलाई		o		o
को		UNK		UNK
दर्शन		d		d
करेंगे		UNK		UNK
।		UNK		UNK
निगम		o		o
ने		UNK		UNK
19		any		any
बैचों		o		o
के		o		o
हिसाब		o		o
से		UNK		UNK
यात्रा		o		o
का		d		d
अनुमानित		d		d
कार्यक्रम		d		d
भी		UNK		UNK
भारत		d		d
सरकार		o		o
को		UNK		UNK
भेजा		UNK		UNK
है		UNK		UNK
।		UNK		UNK
ख्वाजा		d		d
मोइनुद्दीन		d		d
चिश्ती		o		o
की		d		o
दरगाह		d		d
सैकड़ों		any		any
वर्षों		o		o
से		UNK		UNK
श्रद्धालुओं		o		o
को		UNK		UNK
आकर्षित		UNK		UNK
करती		UNK		UNK
रही		UNK		UNK
है		UNK		UNK
।		UNK		UNK
