Word		Original_feature		Predicted_feature
इसके		pn		pn
अतिरिक्त		psp		psp
गुग्गुल		n		n
कुंड		n		n
,		punc		punc
भीम		n		n
गुफा		n		n
तथा		avy		avy
भीमशिला		n		n
भी		avy		avy
दर्शनीय		adj		adj
स्थल		n		n
हैं		v		v
।		punc		punc
कोलकाता		n		n
के		psp		psp
उत्तर		n		n
में		psp		psp
विवेकानंद		n		adj
पुल		n		n
के		psp		psp
पास		nst		nst
दक्षिणेश्वर		n		n
काली		n		adj
मंदिर		n		n
स्थित		adj		adj
है		v		v
।		punc		punc
कहते		v		v
हैं		v		v
मोहब्बत		n		n
और		avy		avy
जंग		n		n
में		psp		psp
सब		avy		pn
कुछ		pn		pn
जायज		adj		adj
है		v		v
।		punc		punc
काँची		n		n
कामकोटि		n		n
पीठ		n		n
के		psp		psp
शंकराचार्य		n		n
जयेंद्र		n		n
सरस्वती		n		n
को		psp		psp
कोर्ट		n		n
ने		psp		psp
आज		n		n
भी		avy		avy
किसी		pn		pn
तरह		n		n
की		psp		psp
राहत		n		n
नहीं		avy		avy
दी		v		v
।		punc		punc
सरकार		n		n
एड्स		n		n
के		psp		psp
मुफ्त		adj		adj
इलाज		n		n
की		psp		psp
सुविधा		n		n
को		psp		psp
और		avy		avy
अधिक		avy		avy
समय		n		n
के		psp		psp
लिए		psp		psp
बढ़ा		v		v
रही		v		v
है		v		v
।		punc		punc
दिल्ली		n		n
विश्वविद्यालय		n		n
की		psp		psp
तरह		n		n
रैगिंग		n		n
का		psp		psp
साया		n		v
अब		pn		pn
गुड़गाँव		n		n
के		psp		psp
कॉलेजों		n		n
पर		psp		psp
भी		avy		avy
पड़ने		v		v
लगा		v		v
है		v		v
।		punc		punc
उत्तर		n		n
भारत		n		n
के		psp		psp
कई		avy		avy
स्थानों		n		n
में		psp		psp
बृहस्पतिवार		n		n
की		psp		psp
सुबह		n		n
तक		psp		psp
भारी		adj		adj
वर्षा		n		n
रिकॉर्ड		n		unk
की		v		v
गई		v		v
।		punc		punc
देश		n		n
का		psp		psp
एक		num		num
तिहाई		num		num
हिस्सा		n		n
सूखे		n		n
की		psp		psp
चपेट		n		n
में		psp		psp
आ		v		v
चुका		v		v
है		v		v
।		punc		punc
सरकारी		adj		adj
क्षेत्र		n		n
के		psp		psp
बैंकों		n		n
के		psp		psp
प्रमुख		n		adj
सोमवार		n		n
को		psp		psp
वित्त		n		n
मंत्री		n		n
पी.		n		n
चिदंबरम		n		n
से		psp		psp
मिलेंगे		v		v
।		punc		punc
लोकसभा		n		n
ने		psp		psp
मंगलवार		n		n
को		psp		psp
राष्ट्रीय		adj		adj
ग्रामीण		adj		adj
रोजगार		n		n
गारंटी		n		n
बिल		n		n
,		punc		punc
२००४		n		n
को		psp		psp
ध्वनिमत		n		n
से		psp		psp
पारित		adj		adj
कर		v		v
दिया		v		v
।		punc		punc
प्रधानमंत्री		n		n
पद		n		n
संभालने		v		v
के		psp		psp
बाद		nst		nst
डॉ.		n		n
मनमोहन		n		n
सिंह		n		n
अपनी		pn		pn
राजनीतिक		adj		adj
यात्रा		n		n
का		psp		psp
सिलसिला		n		n
आंध्र		n		n
प्रदेश		n		n
से		psp		psp
शुरू		n		n
करेंगे		v		v
।		punc		punc
केंद्रीय		adj		adj
कृषि		n		n
मंत्री		n		n
शरद		n		n
पवार		n		n
ने		psp		psp
लोगों		n		n
से		psp		psp
जमकर		adv		adv
चिकन		n		n
खाने		v		v
का		psp		psp
आह्वान		n		n
किया		v		v
है		v		v
।		punc		punc
अमेरिकी		adj		adj
राष्ट्रपति		n		n
जॉर्ज		n		n
डब्लू.		n		n
बुश		n		n
की		psp		psp
भारत		n		n
यात्रा		n		n
की		psp		psp
सफलता		n		n
परमाणु		n		n
समझौते		n		n
पर		psp		psp
निर्भर		adj		adj
है		v		v
।		punc		punc
पिछले		adj		adj
१४		n		n
जून		n		n
को		psp		psp
अगवा		adj		adj
किए		v		v
गए		v		v
छह		num		num
छोटे		adj		adj
व्यापारियों		n		n
की		psp		psp
आतंकियों		n		n
ने		psp		psp
बांग्लादेश		n		n
में		psp		psp
हत्या		n		n
कर		v		v
दी		v		v
।		punc		punc
जम्मू		n		n
कश्मीर		n		n
और		avy		avy
उत्तरी		adj		adj
पाकिस्तान		n		n
में		psp		psp
शनिवार		n		n
सुबह		n		n
भूकंप		n		n
के		psp		psp
जोरदार		adj		adj
झटके		n		n
महसूस		adj		adj
किए		v		v
गए		v		v
।		punc		punc
केंद्र		n		n
ने		psp		psp
