Word		Original_feature		Predicted_feature
इसके		ke		kA
अतिरिक्त		UNK		UNK
गुग्गुल		0		0
कुंड		0		0
,		UNK		UNK
भीम		0		0
गुफा		0		0
तथा		UNK		UNK
भीमशिला		0		0
भी		UNK		UNK
दर्शनीय		UNK		UNK
स्थल		0		0
हैं		hE		hE
।		UNK		UNK
कोलकाता		0		0
के		UNK		UNK
उत्तर		0		0
में		UNK		UNK
विवेकानंद		0		UNK
पुल		0		0
के		UNK		UNK
पास		UNK		UNK
दक्षिणेश्वर		0		0
काली		0		UNK
मंदिर		0		0
स्थित		UNK		UNK
है		hE		hE
।		UNK		UNK
कहते		wA		wA
हैं		hE		hE
मोहब्बत		0		0
और		UNK		UNK
जंग		0		0
में		UNK		UNK
सब		UNK		0
कुछ		0		0
जायज		UNK		UNK
है		hE		hE
।		UNK		UNK
काँची		0		0
कामकोटि		0		0
पीठ		0		0
के		UNK		UNK
शंकराचार्य		0		0
जयेंद्र		0		0
सरस्वती		0		0
को		UNK		UNK
कोर्ट		0		0
ने		UNK		UNK
आज		0		0
भी		UNK		UNK
किसी		0		0
तरह		0		0
की		UNK		UNK
राहत		0		0
नहीं		UNK		UNK
दी		yA		yA
।		UNK		UNK
सरकार		0		0
एड्स		0		0
के		UNK		UNK
मुफ्त		UNK		UNK
इलाज		0		0
की		UNK		UNK
सुविधा		0		0
को		UNK		UNK
और		UNK		UNK
अधिक		UNK		UNK
समय		0		0
के		UNK		UNK
लिए		UNK		UNK
बढ़ा		0		0
रही		yA		yA
है		hE		hE
।		UNK		UNK
दिल्ली		0		0
विश्वविद्यालय		0		0
की		UNK		UNK
तरह		UNK		UNK
रैगिंग		0		0
का		UNK		UNK
साया		0		yA
अब		UNK		UNK
गुड़गाँव		0		0
के		UNK		UNK
कॉलेजों		0		0
पर		UNK		UNK
भी		UNK		UNK
पड़ने		nA		nA
लगा		yA		yA
है		hE		hE
।		UNK		UNK
उत्तर		0		0
भारत		0		0
के		UNK		UNK
कई		UNK		UNK
स्थानों		0		0
में		UNK		UNK
बृहस्पतिवार		0		0
की		UNK		UNK
सुबह		0		0
तक		UNK		UNK
भारी		UNK		UNK
वर्षा		0		0
रिकॉर्ड		0		UNK
की		yA		yA
गई		yA1		yA1
।		UNK		UNK
देश		0		0
का		UNK		UNK
एक		UNK		UNK
तिहाई		UNK		UNK
हिस्सा		0		0
सूखे		0		0
की		UNK		UNK
चपेट		0		0
में		UNK		UNK
आ		0		0
चुका		yA		yA
है		hE		hE
।		UNK		UNK
सरकारी		UNK		UNK
क्षेत्र		0		0
के		UNK		UNK
बैंकों		0		0
के		UNK		UNK
प्रमुख		0		UNK
सोमवार		0		0
को		UNK		UNK
वित्त		0		0
मंत्री		0		0
पी.		0		0
चिदंबरम		0		0
से		UNK		UNK
मिलेंगे		gA		gA
।		UNK		UNK
लोकसभा		0		0
ने		UNK		UNK
मंगलवार		0		0
को		UNK		UNK
राष्ट्रीय		UNK		UNK
ग्रामीण		UNK		UNK
रोजगार		0		0
गारंटी		0		0
बिल		0		0
,		UNK		UNK
२००४		0		0
को		UNK		UNK
ध्वनिमत		0		0
से		UNK		UNK
पारित		UNK		UNK
कर		0		0
दिया		yA		yA
।		UNK		UNK
प्रधानमंत्री		0		0
पद		0		0
संभालने		nA		nA
के		UNK		UNK
बाद		UNK		UNK
डॉ.		0		0
मनमोहन		0		0
सिंह		0		0
अपनी		0		0
राजनीतिक		UNK		UNK
यात्रा		0		0
का		UNK		UNK
सिलसिला		0		0
आंध्र		0		0
प्रदेश		0		0
से		UNK		UNK
शुरू		0		0
करेंगे		gA		gA
।		UNK		UNK
केंद्रीय		UNK		UNK
कृषि		0		0
मंत्री		0		0
शरद		0		0
पवार		0		0
ने		UNK		UNK
लोगों		0		0
से		UNK		UNK
जमकर		UNK		UNK
चिकन		0		0
खाने		nA		nA
का		UNK		UNK
आह्वान		0		0
किया		yA		yA
है		hE		hE
।		UNK		UNK
अमेरिकी		UNK		UNK
राष्ट्रपति		0		0
जॉर्ज		0		0
डब्लू.		0		0
बुश		0		0
की		UNK		UNK
भारत		0		0
यात्रा		0		0
की		UNK		UNK
सफलता		0		0
परमाणु		0		0
समझौते		0		0
पर		UNK		UNK
निर्भर		UNK		UNK
है		hE		hE
।		UNK		UNK
पिछले		UNK		UNK
१४		0		0
जून		0		0
को		UNK		UNK
अगवा		UNK		UNK
किए		yA		yA
गए		yA1		yA1
छह		UNK		UNK
छोटे		UNK		UNK
व्यापारियों		0		0
की		UNK		UNK
आतंकियों		0		0
ने		UNK		UNK
बांग्लादेश		0		0
में		UNK		UNK
हत्या		0		0
कर		0		0
दी		yA		yA
।		UNK		UNK
